iter	MultiClass
0	1.031268901
1	0.9745440816
2	0.9314701171
3	0.8918595618
4	0.8599687028
5	0.8348268174
6	0.8109474402
7	0.7907729907
8	0.7739418499
9	0.7530274772
10	0.736673742
11	0.7225910795
12	0.7110015585
13	0.7010470682
14	0.6903471357
15	0.6827030251
16	0.6739127771
17	0.6653797088
18	0.6579373178
19	0.6517837136
20	0.6455015611
21	0.6391709531
22	0.6332288223
23	0.6279556077
24	0.6227969494
25	0.6182710587
26	0.614302281
27	0.6113494856
28	0.6080903318
29	0.6039530089
30	0.6007623561
31	0.5972881091
32	0.5943613405
33	0.5920370642
34	0.5877732989
35	0.5846617707
36	0.582920003
37	0.580826784
38	0.5783447276
39	0.5751211844
40	0.5731090851
41	0.5719233212
42	0.5707216444
43	0.5693207493
44	0.5668802515
45	0.564866031
46	0.5636850539
47	0.5618450681
48	0.5607960666
49	0.5596760883
50	0.5582269952
51	0.5558972809
52	0.5539956903
53	0.5519959739
54	0.5498425786
55	0.5485410675
56	0.5466012044
57	0.5455695686
58	0.5438123824
59	0.5423267506
60	0.5408796237
61	0.5401634862
62	0.5387846112
63	0.5371097143
64	0.5355155861
65	0.5348915507
66	0.5327535044
67	0.5312488869
68	0.5293890488
69	0.5284827504
70	0.5273541651
71	0.526797232
72	0.5258113651
73	0.5244856501
74	0.5237083255
75	0.5223636654
76	0.5212779072
77	0.5201803197
78	0.5196611732
79	0.5190222891
80	0.5179690851
81	0.517102868
82	0.5153999479
83	0.5139439647
84	0.5124137719
85	0.5117153501
86	0.5100147582
87	0.5079853929
88	0.506662188
89	0.5057771064
90	0.5048406745
91	0.5036574768
92	0.5016476989
93	0.5005143887
94	0.4994010808
95	0.4974600406
96	0.4961299943
97	0.4950121887
98	0.4944908281
99	0.4926845863
100	0.4915823517
101	0.4906110212
102	0.4903330155
103	0.4892608074
104	0.4882988449
105	0.4867830121
106	0.4863478996
107	0.4851458168
108	0.4842067693
109	0.4831057082
110	0.4821807202
111	0.4810546885
112	0.4793666786
113	0.4782995606
114	0.4776469469
115	0.4764233213
116	0.4754858434
117	0.4749432894
118	0.4739612212
119	0.472787585
120	0.4721605157
121	0.4713029287
122	0.4700703703
123	0.4692356614
124	0.4684820522
125	0.4670748365
126	0.4661035022
127	0.464554085
128	0.4634328214
129	0.462381294
130	0.4613225577
131	0.4602440277
132	0.4599748539
133	0.4591597201
134	0.4580379652
135	0.4566191049
136	0.4557473553
137	0.4548497641
138	0.4539781203
139	0.4527552908
140	0.4520779264
141	0.4511670455
142	0.4504674916
143	0.4501214757
144	0.4497131202
145	0.4488730929
146	0.4483163646
147	0.4478929694
148	0.4465308778
149	0.4456248995
150	0.4447525448
151	0.4431427317
152	0.4423121583
153	0.4418821278
154	0.4412768812
155	0.4404256646
156	0.4395989598
157	0.4388759526
158	0.4384685816
159	0.4380324507
160	0.4372937409
161	0.4367694671
162	0.4354399881
163	0.435116534
164	0.4346206665
165	0.433870766
166	0.4327260959
167	0.4318745784
168	0.4305744673
169	0.429413159
170	0.4289356583
171	0.4282064054
172	0.4276281887
173	0.4269801588
174	0.4262691743
175	0.4252040238
176	0.4242283678
177	0.4233718327
178	0.4230480313
179	0.4219291177
180	0.4211767171
181	0.4194570228
182	0.4185564628
183	0.4175382437
184	0.4168249895
185	0.4161188944
186	0.4153463436
187	0.4149035554
188	0.4145104844
189	0.4137629679
190	0.4128229818
191	0.4122690829
192	0.4118517693
193	0.4107528802
194	0.4100683923
195	0.4094316333
196	0.4082682965
197	0.4074834301
198	0.4070223941
199	0.4063491328
200	0.4058185378
201	0.4051044962
202	0.4042160675
203	0.4037559558
204	0.4033955891
205	0.4029623733
206	0.4024420895
207	0.4016861229
208	0.4012873825
209	0.4006318453
210	0.4001442837
211	0.3992480212
212	0.3985888203
213	0.3981239748
214	0.397542636
215	0.3970775973
216	0.3956783306
217	0.3947441016
218	0.3939786339
219	0.3932419173
220	0.3928869207
221	0.3918967322
222	0.3914305805
223	0.3910109226
224	0.3898709165
225	0.389592151
226	0.3892071767
227	0.3885539529
228	0.3875463838
229	0.3868877729
230	0.3863977086
231	0.385954731
232	0.3854453465
233	0.3847221763
234	0.3841754271
235	0.3838893526
236	0.3830728059
237	0.3821691706
238	0.381821072
239	0.3808859458
240	0.3802718037
241	0.3795700148
242	0.3786622986
243	0.37808707
244	0.3776500341
245	0.3774008329
246	0.3765415345
247	0.3753922783
248	0.3750176316
249	0.3746270102
250	0.3741387085
251	0.3733956597
252	0.3729458932
253	0.372629554
254	0.3719821587
255	0.3712547668
256	0.3705475454
257	0.3699840056
258	0.3695377811
259	0.3690569513
260	0.3682498352
261	0.3675860557
262	0.3673512118
263	0.3671354463
264	0.3661074255
265	0.3656207926
266	0.3648909402
267	0.364540535
268	0.3637608565
269	0.3632849488
270	0.3627522124
271	0.3623440906
272	0.3614018008
273	0.3606281067
274	0.3599002461
275	0.3595608136
276	0.359124022
277	0.3587461662
278	0.3577357103
279	0.3573000908
280	0.3570684074
281	0.3565585527
282	0.3560260725
283	0.3552823145
284	0.3551973514
285	0.3548420791
286	0.3540932964
287	0.3532800325
288	0.3525583258
289	0.3521738171
290	0.3517268566
291	0.3513975933
292	0.350811896
293	0.3496199413
294	0.3491537969
295	0.348662676
296	0.3483664404
297	0.347763183
298	0.3474343902
299	0.3472030852
300	0.3466889477
301	0.3463770127
302	0.3457096262
303	0.3450311697
304	0.3446354576
305	0.3442936525
306	0.3439327836
307	0.3432322544
308	0.3425677645
309	0.3422833154
310	0.3420246549
311	0.3413488514
312	0.3409044092
313	0.3406125523
314	0.3400966669
315	0.3394558314
316	0.3393075375
317	0.3381053283
318	0.3376372246
319	0.3369969089
320	0.3366056278
321	0.3362940331
322	0.3357509868
323	0.3351822056
324	0.3348369425
325	0.3343618712
326	0.3336002202
327	0.3329349244
328	0.3325584386
329	0.3320477402
330	0.3317613091
331	0.3311591104
332	0.3307081636
333	0.3304533497
334	0.3300193908
335	0.3296099317
336	0.3290488048
337	0.3286005304
338	0.3283587229
339	0.3279697394
340	0.3273176893
341	0.3267256012
342	0.326221043
343	0.3255957283
344	0.3251254561
345	0.3247856738
346	0.324445664
347	0.3242172475
348	0.3235141511
349	0.3224860136
350	0.3221371878
351	0.3217413289
352	0.3214671805
353	0.3212683719
354	0.3207077828
355	0.3201162636
356	0.3191541797
357	0.3188017746
358	0.3185029236
359	0.3178063309
360	0.3175322816
361	0.3169470762
362	0.3166611225
363	0.3159830125
364	0.3156559948
365	0.3152690346
366	0.3148931712
367	0.3144833688
368	0.3139698158
369	0.3134218124
370	0.3131407322
371	0.312921104
372	0.3124275339
373	0.3118835305
374	0.3114267897
375	0.3107855732
376	0.3103443965
377	0.3101513498
378	0.3098978063
379	0.3092413296
380	0.3088795546
381	0.3087073188
382	0.3082584067
383	0.3079953849
384	0.3074500277
385	0.3069300272
386	0.3065190133
387	0.3061181949
388	0.3058192604
389	0.3056074503
390	0.3055122786
391	0.305070743
392	0.304642466
393	0.3041218739
394	0.3039422355
395	0.3037305201
396	0.3033775723
397	0.3029212622
398	0.3021660164
399	0.3017725321
400	0.3015984915
401	0.3012082346
402	0.3002347239
403	0.2994625947
404	0.2990763408
405	0.298403124
406	0.2978615689
407	0.2975132765
408	0.2971161113
409	0.296480092
410	0.2960454758
411	0.2955591328
412	0.2950016171
413	0.2946246519
414	0.2941041318
415	0.2937162948
416	0.2928270219
417	0.2922932745
418	0.2917596949
419	0.2911086851
420	0.2906309226
421	0.2902738904
422	0.2898163748
423	0.2893277616
424	0.2886841119
425	0.2880367892
426	0.2875829884
427	0.2871530493
428	0.2867452921
429	0.2861970207
430	0.2857557126
431	0.2855423463
432	0.2853147944
433	0.2845266372
434	0.2843010049
435	0.2840186408
436	0.2836379957
437	0.2833131625
438	0.2830056107
439	0.282551102
440	0.2820448629
441	0.2818456031
442	0.2815644411
443	0.2813235271
444	0.2807927189
445	0.2804920963
446	0.2800695555
447	0.2796329034
448	0.2793748183
449	0.279136469
450	0.2784237983
451	0.2777806174
452	0.2774852618
453	0.2773212444
454	0.2768821967
455	0.2763944503
456	0.2760751176
457	0.2758045125
458	0.2754761213
459	0.2752999474
460	0.2751229356
461	0.2748972829
462	0.2744839735
463	0.2742930873
464	0.2737418459
465	0.2734618348
466	0.2726502584
467	0.2722128216
468	0.2719079519
469	0.2714890217
470	0.2710577466
471	0.2706848735
472	0.2704242179
473	0.270091788
474	0.2697554802
475	0.2694926306
476	0.2693285207
477	0.2688867328
478	0.2685143098
479	0.2683098875
480	0.2679943052
481	0.2674506997
482	0.2670207773
483	0.2665606885
484	0.2658747372
485	0.265653331
486	0.2653765629
487	0.2648398712
488	0.2644742364
489	0.2643227119
490	0.2637318645
491	0.263554505
492	0.263309788
493	0.2628602981
494	0.262414915
495	0.2617627157
496	0.2611746984
497	0.2608136505
498	0.2603622037
499	0.2599728982
500	0.259725472
501	0.2593566671
502	0.2589774194
503	0.258798234
504	0.2584199261
505	0.2581741101
506	0.2576853782
507	0.2570167833
508	0.2569151485
509	0.2562870668
510	0.2554269121
511	0.2551043733
512	0.2547474958
