id,img_path,label
571,E:\ImageQant\data\generated\images\rec_571.png,1
155,E:\ImageQant\data\generated\images\rec_155.png,1
912,E:\ImageQant\data\generated\images\rec_912.png,1
1972,E:\ImageQant\data\generated\images\rec_1972.png,1
2951,E:\ImageQant\data\generated\images\rec_2951.png,0
1533,E:\ImageQant\data\generated\images\rec_1533.png,0
4150,E:\ImageQant\data\generated\images\rec_4150.png,0
3208,E:\ImageQant\data\generated\images\rec_3208.png,1
358,E:\ImageQant\data\generated\images\rec_358.png,0
1987,E:\ImageQant\data\generated\images\rec_1987.png,0
2710,E:\ImageQant\data\generated\images\rec_2710.png,0
1758,E:\ImageQant\data\generated\images\rec_1758.png,0
1279,E:\ImageQant\data\generated\images\rec_1279.png,0
1068,E:\ImageQant\data\generated\images\rec_1068.png,0
1824,E:\ImageQant\data\generated\images\rec_1824.png,0
4210,E:\ImageQant\data\generated\images\rec_4210.png,0
4153,E:\ImageQant\data\generated\images\rec_4153.png,0
3177,E:\ImageQant\data\generated\images\rec_3177.png,1
2949,E:\ImageQant\data\generated\images\rec_2949.png,1
1043,E:\ImageQant\data\generated\images\rec_1043.png,0
1706,E:\ImageQant\data\generated\images\rec_1706.png,1
4407,E:\ImageQant\data\generated\images\rec_4407.png,0
630,E:\ImageQant\data\generated\images\rec_630.png,0
2973,E:\ImageQant\data\generated\images\rec_2973.png,0
93,E:\ImageQant\data\generated\images\rec_93.png,1
3499,E:\ImageQant\data\generated\images\rec_3499.png,0
3503,E:\ImageQant\data\generated\images\rec_3503.png,0
1492,E:\ImageQant\data\generated\images\rec_1492.png,1
1498,E:\ImageQant\data\generated\images\rec_1498.png,0
1913,E:\ImageQant\data\generated\images\rec_1913.png,1
784,E:\ImageQant\data\generated\images\rec_784.png,0
3283,E:\ImageQant\data\generated\images\rec_3283.png,0
248,E:\ImageQant\data\generated\images\rec_248.png,0
404,E:\ImageQant\data\generated\images\rec_404.png,0
640,E:\ImageQant\data\generated\images\rec_640.png,1
4116,E:\ImageQant\data\generated\images\rec_4116.png,0
763,E:\ImageQant\data\generated\images\rec_763.png,0
3105,E:\ImageQant\data\generated\images\rec_3105.png,1
