model,quant_levels,img_size,best_acc,best_f1
resnet18,16,32,0.8790960451977401,0.7914230019493177
mobilenet_v2,16,32,0.8666666666666667,0.7730769230769231
efficientnet_b0,16,32,0.8858757062146893,0.8097928436911488
resnet18,16,64,0.8779661016949153,0.7962264150943397
mobilenet_v2,16,64,0.8723163841807909,0.77079107505071
efficientnet_b0,16,64,0.8813559322033898,0.7920792079207921
resnet18,64,32,0.8745762711864407,0.7819253438113949
mobilenet_v2,64,32,0.8655367231638418,0.7671232876712328
efficientnet_b0,64,32,0.880225988700565,0.8113879003558719
resnet18,64,64,0.8813559322033898,0.7992351816443595
mobilenet_v2,64,64,0.8689265536723164,0.7670682730923695
efficientnet_b0,64,64,0.880225988700565,0.7969348659003831
resnet18,256,32,0.8790960451977401,0.7922330097087379
mobilenet_v2,256,32,0.8734463276836159,0.8062283737024222
efficientnet_b0,256,32,0.880225988700565,0.8014981273408239
resnet18,256,64,0.8768361581920904,0.8028933092224232
mobilenet_v2,256,64,0.8700564971751412,0.7912885662431942
efficientnet_b0,256,64,0.8824858757062147,0.8169014084507042
